*  HI b-b recombination spectrum arising from HeI recombination (cont. opacity)
     0.121536      0.00000
     0.121797      0.00000
     0.122058      0.00000
     0.122320      0.00000
     0.122583      0.00000
     0.122846      0.00000
     0.123109      0.00000
     0.123373      0.00000
     0.123638      0.00000
     0.123903      0.00000
     0.124169      0.00000
     0.124436      0.00000
     0.124703      0.00000
     0.124970      0.00000
     0.125238      0.00000
     0.125507      0.00000
     0.125776      0.00000
     0.126046      0.00000
     0.126317      0.00000
     0.126588      0.00000
     0.126859      0.00000
     0.127131      0.00000
     0.127404      0.00000
     0.127678      0.00000
     0.127951      0.00000
     0.128226      0.00000
     0.128501      0.00000
     0.128777      0.00000
     0.129053      0.00000
     0.129330      0.00000
     0.129608      0.00000
     0.129886      0.00000
     0.130164      0.00000
     0.130444      0.00000
     0.130723      0.00000
     0.131004      0.00000
     0.131285      0.00000
     0.131567      0.00000
     0.131849      0.00000
     0.132132      0.00000
     0.132415      0.00000
     0.132700      0.00000
     0.132984      0.00000
     0.133270      0.00000
     0.133556      0.00000
     0.133842      0.00000
     0.134129      0.00000
     0.134417      0.00000
     0.134705      0.00000
     0.134994      0.00000
     0.135284      0.00000
     0.135574      0.00000
     0.135865      0.00000
     0.136157      0.00000
     0.136449      0.00000
     0.136742      0.00000
     0.137035      0.00000
     0.137329      0.00000
     0.137624      0.00000
     0.137919      0.00000
     0.138215      0.00000
     0.138512      0.00000
     0.138809      0.00000
     0.139107      0.00000
     0.139405      0.00000
     0.139704      0.00000
     0.140004      0.00000
     0.140304      0.00000
     0.140605      0.00000
     0.140907      0.00000
     0.141209      0.00000
     0.141512      0.00000
     0.141816      0.00000
     0.142120      0.00000
     0.142425      0.00000
     0.142731      0.00000
     0.143037      0.00000
     0.143344      0.00000
     0.143651      0.00000
     0.143960      0.00000
     0.144269      0.00000
     0.144578      0.00000
     0.144888      0.00000
     0.145199      0.00000
     0.145511      0.00000
     0.145823      0.00000
     0.146136      0.00000
     0.146449      0.00000
     0.146764      0.00000
     0.147078      0.00000
     0.147394      0.00000
     0.147710      0.00000
     0.148027      0.00000
     0.148345      0.00000
     0.148663      0.00000
     0.148982      0.00000
     0.149302      0.00000
     0.149622      0.00000
     0.149943      0.00000
     0.150265      0.00000
     0.150587      0.00000
     0.150910      0.00000
     0.151234      0.00000
     0.151559      0.00000
     0.151884      0.00000
     0.152210      0.00000
     0.152536      0.00000
     0.152864      0.00000
     0.153192      0.00000
     0.153520      0.00000
     0.153850      0.00000
     0.154180      0.00000
     0.154511      0.00000
     0.154842      0.00000
     0.155174      0.00000
     0.155507      0.00000
     0.155841      0.00000
     0.156175      0.00000
     0.156510      0.00000
     0.156846      0.00000
     0.157183      0.00000
     0.157520      0.00000
     0.157858      0.00000
     0.158197      0.00000
     0.158536      0.00000
     0.158876      0.00000
     0.159217      0.00000
     0.159559      0.00000
     0.159901      0.00000
     0.160244      0.00000
     0.160588      0.00000
     0.160933      0.00000
     0.161278      0.00000
     0.161624      0.00000
     0.161971      0.00000
     0.162318      0.00000
     0.162666      0.00000
     0.163016      0.00000
     0.163365      0.00000
     0.163716      0.00000
     0.164067      0.00000
     0.164419      0.00000
     0.164772      0.00000
     0.165125      0.00000
     0.165480      0.00000
     0.165835      0.00000
     0.166191      0.00000
     0.166547      0.00000
     0.166904      0.00000
     0.167263      0.00000
     0.167621      0.00000
     0.167981      0.00000
     0.168342      0.00000
     0.168703      0.00000
     0.169065      0.00000
     0.169427      0.00000
     0.169791      0.00000
     0.170155      0.00000
     0.170520      0.00000
     0.170886      0.00000
     0.171253      0.00000
     0.171620      0.00000
     0.171989      0.00000
     0.172358      0.00000
     0.172727      0.00000
     0.173098      0.00000
     0.173469      0.00000
     0.173842      0.00000
     0.174215      0.00000
     0.174588      0.00000
     0.174963      0.00000
     0.175338      0.00000
     0.175715      0.00000
     0.176092      0.00000
     0.176469      0.00000
     0.176848      0.00000
     0.177228      0.00000
     0.177608      0.00000
     0.177989      0.00000
     0.178371      0.00000
     0.178754      0.00000
     0.179137      0.00000
     0.179521      0.00000
     0.179907      0.00000
     0.180293      0.00000
     0.180679      0.00000
     0.181067      0.00000
     0.181456      0.00000
     0.181845      0.00000
     0.182235      0.00000
     0.182626      0.00000
     0.183018      0.00000
     0.183411      0.00000
     0.183804      0.00000
     0.184199      0.00000
     0.184594      0.00000
     0.184990      0.00000
     0.185387      0.00000
     0.185784      0.00000
     0.186183      0.00000
     0.186583      0.00000
     0.186983      0.00000
     0.187384      0.00000
     0.187786      0.00000
     0.188189      0.00000
     0.188593      0.00000
     0.188998      0.00000
     0.189403      0.00000
     0.189809      0.00000
     0.190217      0.00000
     0.190625      0.00000
     0.191034      0.00000
     0.191444      0.00000
     0.191854      0.00000
     0.192266      0.00000
     0.192679      0.00000
     0.193092      0.00000
     0.193506      0.00000
     0.193922      0.00000
     0.194338      0.00000
     0.194755      0.00000
     0.195172      0.00000
     0.195591      0.00000
     0.196011      0.00000
     0.196431      0.00000
     0.196853      0.00000
     0.197275      0.00000
     0.197699      0.00000
     0.198123      0.00000
     0.198548      0.00000
     0.198974      0.00000
     0.199401      0.00000
     0.199829      0.00000
     0.200257      0.00000
     0.200687      0.00000
     0.201118      0.00000
     0.201549      0.00000
     0.201982      0.00000
     0.202415      0.00000
     0.202849      0.00000
     0.203285      0.00000
     0.203721      0.00000
     0.204158      0.00000
     0.204596      0.00000
     0.205035      0.00000
     0.205475      0.00000
     0.205916      0.00000
     0.206357      0.00000
     0.206800      0.00000
     0.207244      0.00000
     0.207689      0.00000
     0.208134      0.00000
     0.208581      0.00000
     0.209028      0.00000
     0.209477      0.00000
     0.209926      0.00000
     0.210377      0.00000
     0.210828      0.00000
     0.211280      0.00000
     0.211734      0.00000
     0.212188      0.00000
     0.212643      0.00000
     0.213100      0.00000
     0.213557      0.00000
     0.214015      0.00000
     0.214474      0.00000
     0.214934      0.00000
     0.215396      0.00000
     0.215858      0.00000
     0.216321      0.00000
     0.216785      0.00000
     0.217250      0.00000
     0.217716      0.00000
     0.218183      0.00000
     0.218652      0.00000
     0.219121      0.00000
     0.219591      0.00000
     0.220062      0.00000
     0.220534      0.00000
     0.221007      0.00000
     0.221481      0.00000
     0.221957      0.00000
     0.222433      0.00000
     0.222910      0.00000
     0.223388      0.00000
     0.223868      0.00000
     0.224348      0.00000
     0.224829      0.00000
     0.225312      0.00000
     0.225795      0.00000
     0.226280      0.00000
     0.226765      0.00000
     0.227252      0.00000
     0.227739      0.00000
     0.228228      0.00000
     0.228718      0.00000
     0.229208      0.00000
     0.229700      0.00000
     0.230193      0.00000
     0.230687      0.00000
     0.231182      0.00000
     0.231678      0.00000
     0.232175      0.00000
     0.232673      0.00000
     0.233173      0.00000
     0.233673      0.00000
     0.234174      0.00000
     0.234677      0.00000
     0.235180      0.00000
     0.235685      0.00000
     0.236190      0.00000
     0.236697      0.00000
     0.237205      0.00000
     0.237714      0.00000
     0.238224      0.00000
     0.238735      0.00000
     0.239247      0.00000
     0.239761      0.00000
     0.240275      0.00000
     0.240791      0.00000
     0.241307      0.00000
     0.241825      0.00000
     0.242344      0.00000
     0.242864      0.00000
     0.243385      0.00000
     0.243907      0.00000
     0.244431      0.00000
     0.244955      0.00000
     0.245481      0.00000
     0.246007      0.00000
     0.246535      0.00000
     0.247064      0.00000
     0.247594      0.00000
     0.248125      0.00000
     0.248658      0.00000
     0.249191      0.00000
     0.249726      0.00000
     0.250262      0.00000
     0.250799      0.00000
     0.251337      0.00000
     0.251876      0.00000
     0.252417      0.00000
     0.252958      0.00000
     0.253501      0.00000
     0.254045      0.00000
     0.254590      0.00000
     0.255136      0.00000
     0.255684      0.00000
     0.256232      0.00000
     0.256782      0.00000
     0.257333      0.00000
     0.257885      0.00000
     0.258438      0.00000
     0.258993      0.00000
     0.259549      0.00000
     0.260106      0.00000
     0.260664      0.00000
     0.261223      0.00000
     0.261783      0.00000
     0.262345      0.00000
     0.262908      0.00000
     0.263472      0.00000
     0.264037      0.00000
     0.264604      0.00000
     0.265172      0.00000
     0.265741      0.00000
     0.266311      0.00000
     0.266882      0.00000
     0.267455      0.00000
     0.268029      0.00000
     0.268604      0.00000
     0.269180      0.00000
     0.269758      0.00000
     0.270336      0.00000
     0.270916      0.00000
     0.271498      0.00000
     0.272080      0.00000
     0.272664      0.00000
     0.273249      0.00000
     0.273835      0.00000
     0.274423      0.00000
     0.275012      0.00000
     0.275602      0.00000
     0.276193      0.00000
     0.276786      0.00000
     0.277380      0.00000
     0.277975      0.00000
     0.278571      0.00000
     0.279169      0.00000
     0.279768      0.00000
     0.280368      0.00000
     0.280970      0.00000
     0.281573      0.00000
     0.282177      0.00000
     0.282782      0.00000
     0.283389      0.00000
     0.283997      0.00000
     0.284606      0.00000
     0.285217      0.00000
     0.285829      0.00000
     0.286442      0.00000
     0.287057      0.00000
     0.287673      0.00000
     0.288290      0.00000
     0.288908      0.00000
     0.289528      0.00000
     0.290150      0.00000
     0.290772      0.00000
     0.291396      0.00000
     0.292021      0.00000
     0.292648      0.00000
     0.293276      0.00000
     0.293905      0.00000
     0.294536      0.00000
     0.295167      0.00000
     0.295801      0.00000
     0.296435      0.00000
     0.297071      0.00000
     0.297709      0.00000
     0.298348      0.00000
     0.298988      0.00000
     0.299629      0.00000
     0.300272      0.00000
     0.300916      0.00000
     0.301562      0.00000
     0.302209      0.00000
     0.302858      0.00000
     0.303507      0.00000
     0.304159      0.00000
     0.304811      0.00000
     0.305465      0.00000
     0.306121      0.00000
     0.306777      0.00000
     0.307436      0.00000
     0.308095      0.00000
     0.308756      0.00000
     0.309419      0.00000
     0.310083      0.00000
     0.310748      0.00000
     0.311415      0.00000
     0.312083      0.00000
     0.312753      0.00000
     0.313424      0.00000
     0.314096      0.00000
     0.314770      0.00000
     0.315445      0.00000
     0.316122      0.00000
     0.316800      0.00000
     0.317480      0.00000
     0.318161      0.00000
     0.318844      0.00000
     0.319528      0.00000
     0.320214      0.00000
     0.320901      0.00000
     0.321589      0.00000
     0.322279      0.00000
     0.322971      0.00000
     0.323664      0.00000
     0.324358      0.00000
     0.325054      0.00000
     0.325752      0.00000
     0.326451      0.00000
     0.327151      0.00000
     0.327853      0.00000
     0.328556      0.00000
     0.329261      0.00000
     0.329968      0.00000
     0.330676      0.00000
     0.331385      0.00000
     0.332096      0.00000
     0.332809      0.00000
     0.333523      0.00000
     0.334239      0.00000
     0.334956      0.00000
     0.335674      0.00000
     0.336395      0.00000
     0.337116      0.00000
     0.337840      0.00000
     0.338565      0.00000
     0.339291      0.00000
     0.340019      0.00000
     0.340749      0.00000
     0.341480      0.00000
     0.342212      0.00000
     0.342947      0.00000
     0.343682      0.00000
     0.344420      0.00000
     0.345159      0.00000
     0.345899      0.00000
     0.346642      0.00000
     0.347385      0.00000
     0.348131      0.00000
     0.348878      0.00000
     0.349626      0.00000
     0.350376      0.00000
     0.351128      0.00000
     0.351882      0.00000
     0.352636      0.00000
     0.353393      0.00000
     0.354151      0.00000
     0.354911      0.00000
     0.355673      0.00000
     0.356436      0.00000
     0.357201      0.00000
     0.357967      0.00000
     0.358735      0.00000
     0.359505      0.00000
     0.360276      0.00000
     0.361049      0.00000
     0.361824      0.00000
     0.362600      0.00000
     0.363378      0.00000
     0.364158      0.00000
     0.364939      0.00000
     0.365722      0.00000
     0.366507      0.00000
     0.367293      0.00000
     0.368081      0.00000
     0.368871      0.00000
     0.369663      0.00000
     0.370456      0.00000
     0.371251      0.00000
     0.372047      0.00000
     0.372845      0.00000
     0.373645      0.00000
     0.374447      0.00000
     0.375251      0.00000
     0.376056      0.00000
     0.376863      0.00000
     0.377671      0.00000
     0.378481      0.00000
     0.379294      0.00000
     0.380107      0.00000
     0.380923      0.00000
     0.381740      0.00000
     0.382559      0.00000
     0.383380      0.00000
     0.384203      0.00000
     0.385027      0.00000
     0.385853      0.00000
     0.386681      0.00000
     0.387511      0.00000
     0.388342      0.00000
     0.389175      0.00000
     0.390010      0.00000
     0.390847      0.00000
     0.391686      0.00000
     0.392526      0.00000
     0.393368      0.00000
     0.394213      0.00000
     0.395058      0.00000
     0.395906      0.00000
     0.396755      0.00000
     0.397607      0.00000
     0.398460      0.00000
     0.399315      0.00000
     0.400171      0.00000
     0.401030      0.00000
     0.401891      0.00000
     0.402753      0.00000
     0.403617      0.00000
     0.404483      0.00000
     0.405351      0.00000
     0.406221      0.00000
     0.407092      0.00000
     0.407966      0.00000
     0.408841      0.00000
     0.409718      0.00000
     0.410597      0.00000
     0.411478      0.00000
     0.412361      0.00000
     0.413246      0.00000
     0.414133      0.00000
     0.415021      0.00000
     0.415912      0.00000
     0.416804      0.00000
     0.417698      0.00000
     0.418595      0.00000
     0.419493      0.00000
     0.420393      0.00000
     0.421295      0.00000
     0.422199      0.00000
     0.423105      0.00000
     0.424012      0.00000
     0.424922      0.00000
     0.425834      0.00000
     0.426748      0.00000
     0.427663      0.00000
     0.428581      0.00000
     0.429500      0.00000
     0.430422      0.00000
     0.431345      0.00000
     0.432271      0.00000
     0.433198      0.00000
     0.434128      0.00000
     0.435059      0.00000
     0.435993      0.00000
     0.436928      0.00000
     0.437866      0.00000
     0.438805      0.00000
     0.439747      0.00000
     0.440690      0.00000
     0.441636      0.00000
     0.442583      0.00000
     0.443533      0.00000
     0.444485      0.00000
     0.445438      0.00000
     0.446394      0.00000
     0.447352      0.00000
     0.448312      0.00000
     0.449274      0.00000
     0.450238      0.00000
     0.451204      0.00000
     0.452172      0.00000
     0.453142      0.00000
     0.454114      0.00000
     0.455089      0.00000
     0.456065      0.00000
     0.457044      0.00000
     0.458024      0.00000
     0.459007      0.00000
     0.459992      0.00000
     0.460979      0.00000
     0.461968      0.00000
     0.462959      0.00000
     0.463952      0.00000
     0.464948      0.00000
     0.465945      0.00000
     0.466945      0.00000
     0.467947      0.00000
     0.468951      0.00000
     0.469957      0.00000
     0.470966      0.00000
     0.471976      0.00000
     0.472989      0.00000
     0.474004      0.00000
     0.475021      0.00000
     0.476040      0.00000
     0.477061      0.00000
     0.478085      0.00000
     0.479111      0.00000
     0.480139      0.00000
     0.481169      0.00000
     0.482201      0.00000
     0.483236      0.00000
     0.484273      0.00000
     0.485312      0.00000
     0.486353      0.00000
     0.487397      0.00000
     0.488442      0.00000
     0.489490      0.00000
     0.490541      0.00000
     0.491593      0.00000
     0.492648      0.00000
     0.493705      0.00000
     0.494764      0.00000
     0.495826      0.00000
     0.496890      0.00000
     0.497956      0.00000
     0.499024      0.00000
     0.500095      0.00000
     0.501168      0.00000
     0.502243      0.00000
     0.503321      0.00000
     0.504401      0.00000
     0.505483      0.00000
     0.506567      0.00000
     0.507654      0.00000
     0.508744      0.00000
     0.509835      0.00000
     0.510929      0.00000
     0.512025      0.00000
     0.513124      0.00000
     0.514225      0.00000
     0.515328      0.00000
     0.516434      0.00000
     0.517542      0.00000
     0.518652      0.00000
     0.519765      0.00000
     0.520880      0.00000
     0.521998      0.00000
     0.523118      0.00000
     0.524241      0.00000
     0.525365      0.00000
     0.526493      0.00000
     0.527622      0.00000
     0.528754      0.00000
     0.529889      0.00000
     0.531026      0.00000
     0.532165      0.00000
     0.533307      0.00000
     0.534451      0.00000
     0.535598      0.00000
     0.536747      0.00000
     0.537899      0.00000
     0.539053      0.00000
     0.540209      0.00000
     0.541369      0.00000
     0.542530      0.00000
     0.543694      0.00000
     0.544861      0.00000
     0.546030      0.00000
     0.547201      0.00000
     0.548375      0.00000
     0.549552      0.00000
     0.550731      0.00000
     0.551913      0.00000
     0.553097      0.00000
     0.554284      0.00000
     0.555473      0.00000
     0.556665      0.00000
     0.557859      0.00000
     0.559056      0.00000
     0.560256      0.00000
     0.561458      0.00000
     0.562662      0.00000
     0.563870      0.00000
     0.565080      0.00000
     0.566292      0.00000
     0.567507      0.00000
     0.568725      0.00000
     0.569945      0.00000
     0.571168      0.00000
     0.572393      0.00000
     0.573622      0.00000
     0.574852      0.00000
     0.576086      0.00000
     0.577322      0.00000
     0.578560      0.00000
     0.579802      0.00000
     0.581046      0.00000
     0.582292      0.00000
     0.583542      0.00000
     0.584794      0.00000
     0.586049      0.00000
     0.587306      0.00000
     0.588566      0.00000
     0.589829      0.00000
     0.591095      0.00000
     0.592363      0.00000
     0.593634      0.00000
     0.594908      0.00000
     0.596184      0.00000
     0.597463      0.00000
     0.598745      0.00000
     0.600030      0.00000
     0.601317      0.00000
     0.602607      0.00000
     0.603900      0.00000
     0.605196      0.00000
     0.606495      0.00000
     0.607796      0.00000
     0.609100      0.00000
     0.610407      0.00000
     0.611717      0.00000
     0.613029      0.00000
     0.614344      0.00000
     0.615663      0.00000
     0.616984      0.00000
     0.618307      0.00000
     0.619634      0.00000
     0.620964      0.00000
     0.622296      0.00000
     0.623631      0.00000
     0.624969      0.00000
     0.626310      0.00000
     0.627654      0.00000
     0.629001      0.00000
     0.630350      0.00000
     0.631703      0.00000
     0.633058      0.00000
     0.634416      0.00000
     0.635778      0.00000
     0.637142      0.00000
     0.638509      0.00000
     0.639879      0.00000
     0.641252      0.00000
     0.642627      0.00000
     0.644006      0.00000
     0.645388      0.00000
     0.646773      0.00000
     0.648161      0.00000
     0.649551      0.00000
     0.650945      0.00000
     0.652342      0.00000
     0.653741      0.00000
     0.655144      0.00000
     0.656550      0.00000
     0.657958      0.00000
     0.659370      0.00000
     0.660785      0.00000
     0.662203      0.00000
     0.663623      0.00000
     0.665047      0.00000
     0.666474      0.00000
     0.667904      0.00000
     0.669337      0.00000
     0.670773      0.00000
     0.672213      0.00000
     0.673655      0.00000
     0.675100      0.00000
     0.676549      0.00000
     0.678001      0.00000
     0.679455      0.00000
     0.680913      0.00000
     0.682374      0.00000
     0.683838      0.00000
     0.685305      0.00000
     0.686776      0.00000
     0.688249      0.00000
     0.689726      0.00000
     0.691206      0.00000
     0.692689      0.00000
     0.694175      0.00000
     0.695665      0.00000
     0.697157      0.00000
     0.698653      0.00000
     0.700152      0.00000
     0.701654      0.00000
     0.703160      0.00000
     0.704669      0.00000
     0.706181      0.00000
     0.707696      0.00000
     0.709214      0.00000
     0.710736      0.00000
     0.712261      0.00000
     0.713789      0.00000
     0.715321      0.00000
     0.716856      0.00000
     0.718394      0.00000
     0.719935      0.00000
     0.721480      0.00000
     0.723028      0.00000
     0.724579      0.00000
     0.726134      0.00000
     0.727692      0.00000
     0.729253      0.00000
     0.730818      0.00000
     0.732386      0.00000
     0.733957      0.00000
     0.735532      0.00000
     0.737110      0.00000
     0.738692      0.00000
     0.740277      0.00000
     0.741865      0.00000
     0.743457      0.00000
     0.745052      0.00000
     0.746650      0.00000
     0.748253      0.00000
     0.749858      0.00000
     0.751467      0.00000
     0.753079      0.00000
     0.754695      0.00000
     0.756314      0.00000
     0.757937      0.00000
     0.759563      0.00000
     0.761193      0.00000
     0.762826      0.00000
     0.764463      0.00000
     0.766103      0.00000
     0.767747      0.00000
     0.769394      0.00000
     0.771045      0.00000
     0.772699      0.00000
     0.774357      0.00000
     0.776019      0.00000
     0.777684      0.00000
     0.779352      0.00000
     0.781025      0.00000
     0.782700      0.00000
     0.784380      0.00000
     0.786063      0.00000
     0.787749      0.00000
     0.789439      0.00000
     0.791133      0.00000
     0.792831      0.00000
     0.794532      0.00000
     0.796237      0.00000
     0.797945      0.00000
     0.799657      0.00000
     0.801373      0.00000
     0.803092      0.00000
     0.804815      0.00000
     0.806542      0.00000
     0.808273      0.00000
     0.810007      0.00000
     0.811745      0.00000
     0.813487      0.00000
     0.815232      0.00000
     0.816981      0.00000
     0.818734      0.00000
     0.820491      0.00000
     0.822251      0.00000
     0.824016      0.00000
     0.825784      0.00000
     0.827556      0.00000
     0.829331      0.00000
     0.831110      0.00000
     0.832894      0.00000
     0.834681      0.00000
     0.836472      0.00000
     0.838266      0.00000
     0.840065      0.00000
     0.841867      0.00000
     0.843674      0.00000
     0.845484      0.00000
     0.847298      0.00000
     0.849116      0.00000
     0.850938      0.00000
     0.852764      0.00000
     0.854593      0.00000
     0.856427      0.00000
     0.858265      0.00000
     0.860106      0.00000
     0.861952      0.00000
     0.863801      0.00000
     0.865654      0.00000
     0.867512      0.00000
     0.869373      0.00000
     0.871238      0.00000
     0.873108      0.00000
     0.874981      0.00000
     0.876858      0.00000
     0.878740      0.00000
     0.880625      0.00000
     0.882515      0.00000
     0.884408      0.00000
     0.886306      0.00000
     0.888208      0.00000
     0.890113      0.00000
     0.892023      0.00000
     0.893937      0.00000
     0.895855      0.00000
     0.897777      0.00000
     0.899704      0.00000
     0.901634      0.00000
     0.903569      0.00000
     0.905507      0.00000
     0.907450      0.00000
     0.909397      0.00000
     0.911348      0.00000
     0.913304      0.00000
     0.915263      0.00000
     0.917227      0.00000
     0.919195      0.00000
     0.921167      0.00000
     0.923144      0.00000
     0.925124      0.00000
     0.927109      0.00000
     0.929099      0.00000
     0.931092      0.00000
     0.933090      0.00000
     0.935092      0.00000
     0.937098      0.00000
     0.939109      0.00000
     0.941124      0.00000
     0.943143      0.00000
     0.945167      0.00000
     0.947195      0.00000
     0.949227      0.00000
     0.951264      0.00000
     0.953305      0.00000
     0.955350      0.00000
     0.957400      0.00000
     0.959454      0.00000
     0.961513      0.00000
     0.963576      0.00000
     0.965643      0.00000
     0.967715      0.00000
     0.969792      0.00000
     0.971873      0.00000
     0.973958      0.00000
     0.976047      0.00000
     0.978142      0.00000
     0.980240      0.00000
     0.982344      0.00000
     0.984451      0.00000
     0.986564      0.00000
     0.988680      0.00000
     0.990802      0.00000
     0.992927      0.00000
     0.995058      0.00000
     0.997193      0.00000
     0.999333      0.00000
      1.00148      0.00000
      1.00363      0.00000
      1.00578      0.00000
      1.00794      0.00000
      1.01010      0.00000
      1.01227      0.00000
      1.01444      0.00000
      1.01662      0.00000
      1.01880      0.00000
      1.02098      0.00000
      1.02317      0.00000
      1.02537      0.00000
      1.02757      0.00000
      1.02977      0.00000
      1.03198      0.00000
      1.03420      0.00000
      1.03642      0.00000
      1.03864      0.00000
      1.04087      0.00000
      1.04310      0.00000
      1.04534      0.00000
      1.04758      0.00000
      1.04983      0.00000
      1.05208      0.00000
      1.05434      0.00000
      1.05660      0.00000
      1.05887      0.00000
      1.06114      0.00000
      1.06342      0.00000
      1.06570      0.00000
      1.06799      0.00000
      1.07028      0.00000
      1.07257      0.00000
      1.07488      0.00000
      1.07718      0.00000
      1.07949      0.00000
      1.08181      0.00000
      1.08413      0.00000
      1.08646      0.00000
      1.08879      0.00000
      1.09112      0.00000
      1.09346      0.00000
      1.09581      0.00000
      1.09816      0.00000
      1.10052      0.00000
      1.10288      0.00000
      1.10525      0.00000
      1.10762      0.00000
      1.10999      0.00000
      1.11238      0.00000
      1.11476      0.00000
      1.11715      0.00000
      1.11955      0.00000
      1.12195      0.00000
      1.12436      0.00000
      1.12677      0.00000
      1.12919      0.00000
      1.13161      0.00000
      1.13404      0.00000
      1.13647      0.00000
      1.13891      0.00000
      1.14136      0.00000
      1.14381      0.00000
      1.14626      0.00000
      1.14872      0.00000
      1.15118      0.00000
      1.15365      0.00000
      1.15613      0.00000
      1.15861      0.00000
      1.16110      0.00000
      1.16359      0.00000
      1.16608      0.00000
      1.16859      0.00000
      1.17109      0.00000
      1.17361      0.00000
      1.17612      0.00000
      1.17865      0.00000
      1.18118      0.00000
      1.18371      0.00000
      1.18625      0.00000
      1.18880      0.00000
      1.19135      0.00000
      1.19390      0.00000
      1.19646      0.00000
      1.19903      0.00000
      1.20160      0.00000
      1.20418      0.00000
      1.20677      0.00000
      1.20935      0.00000
      1.21195      0.00000
      1.21455      0.00000
      1.21716      0.00000
      1.21977      0.00000
      1.22238      0.00000
      1.22501      0.00000
      1.22764      0.00000
      1.23027      0.00000
      1.23291      0.00000
      1.23555      0.00000
      1.23821      0.00000
      1.24086      0.00000
      1.24353      0.00000
      1.24619      0.00000
      1.24887      0.00000
      1.25155      0.00000
      1.25423      0.00000
      1.25692      0.00000
      1.25962      0.00000
      1.26232      0.00000
      1.26503      0.00000
      1.26775      0.00000
      1.27047      0.00000
      1.27319      0.00000
      1.27592      0.00000
      1.27866      0.00000
      1.28140      0.00000
      1.28415      0.00000
      1.28691      0.00000
      1.28967      0.00000
      1.29244      0.00000
      1.29521      0.00000
      1.29799      0.00000
      1.30077      0.00000
      1.30357      0.00000
      1.30636      0.00000
      1.30917      0.00000
      1.31197      0.00000
      1.31479      0.00000
      1.31761      0.00000
      1.32044      0.00000
      1.32327      0.00000
      1.32611      0.00000
      1.32895      0.00000
      1.33181      0.00000
      1.33466      0.00000
      1.33753      0.00000
      1.34040      0.00000
      1.34327      0.00000
      1.34616      0.00000
      1.34904      0.00000
      1.35194      0.00000
      1.35484      0.00000
      1.35775      0.00000
      1.36066      0.00000
      1.36358      0.00000
      1.36650      0.00000
      1.36944      0.00000
      1.37237      0.00000
      1.37532      0.00000
      1.37827      0.00000
      1.38123      0.00000
      1.38419      0.00000
      1.38716      0.00000
      1.39014      0.00000
      1.39312      0.00000
      1.39611      0.00000
      1.39910      0.00000
      1.40211      0.00000
      1.40511      0.00000
      1.40813      0.00000
      1.41115      0.00000
      1.41418      0.00000
      1.41721      0.00000
      1.42025      0.00000
      1.42330      0.00000
      1.42636      0.00000
      1.42942      0.00000
      1.43248      0.00000
      1.43556      0.00000
      1.43864      0.00000
      1.44172      0.00000
      1.44482      0.00000
      1.44792      0.00000
      1.45102      0.00000
      1.45414      0.00000
      1.45726      0.00000
      1.46038      0.00000
      1.46352      0.00000
      1.46666      0.00000
      1.46980      0.00000
      1.47296      0.00000
      1.47612      0.00000
      1.47928      0.00000
      1.48246      0.00000
      1.48564      0.00000
      1.48883      0.00000
